req_id,measurer,measurement,pos,t_start,t_end,t_corr,t_img,u_max,u_exp,u
2ea05d9a,img_0,visible,"[-324.55826951299105, -4107.041814579687, 4869.034003204581]",0.0,86400.0,86400.0,6810.0,1.0,0.3333333333333333,0.10235339506172839
2e9d7742,img_0,visible,"[-601.3874084163037, -3916.925513578675, 4997.66449128515]",0.0,86400.0,86400.0,6820.0,1.0,0.3333333333333333,0.10234053497942387
2ea3593c,img_0,visible,"[-617.3455133490522, -3774.054347530024, 5104.5098648562935]",0.0,86400.0,86400.0,6830.0,1.0,0.3333333333333333,0.10232767489711933
2ea4632c,thm_2,thermal,"[-2775.1591803125857, 4703.071407449162, 3295.4868413845375]",0.0,86400.0,86400.0,7080.0,1.0,0.3333333333333333,0.10200617283950617
2ea5c7b2,sar_0,sar,"[-2284.69616712873, 2998.3482742525125, 5144.967804716756]",0.0,86400.0,86400.0,7100.0,1.0,0.3333333333333333,0.10198045267489711
2ea0e850,img_0,visible,"[831.8868848750332, -2520.5760461900536, 5799.593370877265]",0.0,86400.0,86400.0,7120.0,1.0,0.3333333333333333,0.10195473251028805
2e9d1fea,img_0,visible,"[808.5760258594047, -2404.445269145716, 5851.962954382562]",0.0,86400.0,86400.0,7130.0,1.0,0.3333333333333333,0.10194187242798354
2e9e54aa,thm_2,thermal,"[-3063.8717162553503, 3303.792838743767, 4514.229241672779]",0.0,86400.0,86400.0,7320.0,1.0,0.3333333333333333,0.10169753086419753
2e9b6fd8,img_0,visible,"[3267.3565544461812, 716.4968398696386, 5430.620230319194]",0.0,86400.0,86400.0,7740.0,1.0,0.3333333333333333,0.10115740740740739
2ea748c6,img_0,visible,"[3853.8362002339572, 381.1261962001001, 5067.87056126279]",0.0,86400.0,86400.0,7770.0,1.0,0.3333333333333333,0.10111882716049382
2e9978f4,thm_0,thermal,"[2188.0364936445694, -5708.670852100328, -1817.7447747792826]",0.0,86400.0,86400.0,7800.0,1.0,0.3333333333333333,0.10108024691358025
2ea56e20,thm_0,thermal,"[2352.583818388748, -5546.545150404478, -2093.277079929382]",0.0,86400.0,86400.0,7860.0,1.0,0.3333333333333333,0.10100308641975309
2e9a9126,thm_0,thermal,"[2549.560557488089, -4846.34511903818, -3270.0615609271817]",0.0,86400.0,86400.0,8070.0,1.0,0.3333333333333333,0.10073302469135803
2ea02d98,sar_2,sar,"[2908.9148357225654, 1529.2317675417105, 5466.286430569853]",0.0,86400.0,86400.0,8260.0,1.0,0.3333333333333333,0.100488683127572
2e98ba7c,sar_2,sar,"[2736.5225342760405, 1646.4048317042023, 5520.997936145076]",0.0,86400.0,86400.0,8300.0,1.0,0.3333333333333333,0.10043724279835392
2e9dd23c,sar_2,sar,"[2690.7876989499314, 1478.1265722988296, 5590.655243960366]",0.0,86400.0,86400.0,8310.0,1.0,0.3333333333333333,0.10042438271604938
2e9919c2,sar_2,sar,"[2565.1049027893, 1740.7222025433125, 5574.113894838959]",0.0,86400.0,86400.0,8330.0,1.0,0.3333333333333333,0.10039866255144032
883467d4,sar_2,sar,"[2565.1049027893, 1740.7222025433125, 5574.113894838959]",5710.0,6710.0,1000.0,8330.0,7.266932193433815,3.6334660967169077,0.0
2e9bc85c,img_0,visible,"[4894.2188908462895, 3164.57156045298, 2590.8938512863097]",0.0,86400.0,86400.0,8370.0,1.0,0.3333333333333333,0.10034722222222221
2e99d7ae,thm_2,thermal,"[-1198.1385881205426, -3088.9038212981127, 5450.11557380246]",0.0,86400.0,86400.0,8380.0,1.0,0.3333333333333333,0.1003343621399177
2e9a3708,img_2,visible,"[-1856.1026227263917, -4408.760976230428, 4218.806984178539]",0.0,86400.0,86400.0,8580.0,1.0,0.3333333333333333,0.10007716049382716
2ea0bdee,img_0,visible,"[4963.397341924711, 3795.7658574591364, 1279.637074681688]",0.0,86400.0,86400.0,8600.0,1.0,0.3333333333333333,0.1000514403292181
